flow_duration,header_length,protocol_type,duration,rate,srate,drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,http,https,dns,telnet,smtp,ssh,irc,tcp,udp,dhcp,arp,icmp,ipv,llc,tot_sum,min,max,avg,std,tot_size,iat,number,radius,covariance,variance,weight,label,magnitude
0.0,54,TCP,64.0,2,2,0.0,True,False,True,False,False,False,False,1.0,0.0,1,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83340930.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
3.6382904,129,TCP,64.0,0,0,0.0,False,True,False,False,False,False,False,0.0,2.4,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83365340.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
2.2656984,598737,TCP,166.6,222,222,0.0,False,False,False,False,True,False,False,0.0,1.8,0,16,503,False,True,False,False,False,False,False,True,False,False,False,False,True,True,5314.7,645.2,1514.0,1138.6719,409.20035,650.9,0.0032152175,5.5,578.6967,280490.47,0.6,38.5,Benign,47.15305
0.0,54,TCP,64.0,5,5,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83076020.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
5.362558,109,TCP,64.0,0,0,0.0,False,True,False,False,False,False,False,0.0,1.98,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,572.2,54.0,59.2,54.34776,1.2921878,54.52,82981660.0,9.5,1.8313653,16.892899,0.1,141.55,DoS,10.425356
0.0,54,TCP,64.0,2,2,0.0,False,False,False,True,True,False,False,0.0,0.0,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83332160.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.33904484,27435,UDP,64.0,3226,3226,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,525.0,50.0,50.0,50.0,0.0,50.0,83123750.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.0
0.02517659,17025,UDP,64.0,13501,13501,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,525.0,50.0,50.0,50.0,0.0,50.0,83016296.0,9.5,0.0,0.0,0.0,141.55,DoS,10.0
0.6457494,93,TCP,64.0,2,2,0.0,False,True,False,False,False,False,False,0.0,1.73,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83361390.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.0,160,CHAOS,65.91,21,21,0.0,False,False,False,False,False,False,False,0.01,0.0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,1679.4,140.4,160.92,158.11444,6.4335465,160.92,83008180.0,9.5,9.106583,233.73932,0.19,141.55,DoS,17.761122
0.0,0,ICMP,64.0,0,0,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,441.0,42.0,42.0,42.0,0.0,42.0,83124510.0,9.5,0.0,0.0,0.0,141.55,DDoS,9.165152
52.374817,2527761,CBT,153.8,34,34,0.0,False,False,False,False,True,False,False,0.0,0.0,0,89,2509,False,True,False,False,False,False,False,True,False,False,False,False,True,True,378.0,54.0,89.4,64.864525,11.81871,80.4,0.0022830963,5.5,16.71418,294.6325,0.9,38.5,Benign,11.3696
0.036975797,43425,UDP,64.0,23511,23511,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,525.0,50.0,50.0,50.0,0.0,50.0,83015490.0,9.5,0.0,0.0,0.0,141.55,DoS,10.0
0.0,54,TCP,64.0,0,0,0.0,False,True,False,False,False,False,False,0.0,1.0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83076960.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.00059332134,55,TCP,63.95,16,16,0.0,False,True,False,False,False,False,False,0.0,0.99,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.58,54.0,54.58,54.029762,0.12796013,54.29,82973130.0,9.5,0.18315789,0.8386704,0.02,141.55,DoS,10.395222
0.0,54,TCP,64.0,11,11,0.0,False,True,False,False,False,False,False,0.0,1.0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83089740.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.0,0,ICMP,64.0,8,8,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,441.0,42.0,42.0,42.0,0.0,42.0,83149496.0,9.5,0.0,0.0,0.0,141.55,DDoS,9.165152
0.0,0,GRE,64.0,2,2,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,6216.0,592.0,592.0,592.0,0.0,592.0,83694170.0,9.5,0.0,0.0,0.0,141.55,Mirai,34.4093
0.32995066,581977,UDP,64.0,3183,3183,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,5817.0,554.0,554.0,554.0,0.0,554.0,83767560.0,9.5,0.0,0.0,0.0,141.55,Mirai,33.286633
0.04466155,19355,UDP,64.0,8658,8658,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,525.0,50.0,50.0,50.0,0.0,50.0,83106920.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.0
0.010647509,3274,CHAOS,64.0,12468,12468,0.0,False,False,False,False,False,False,False,0.03,0.04,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,531.4,50.0,53.68,50.661346,1.3037306,50.52,83123500.0,9.5,1.8468268,8.036645,0.22,141.55,DDoS,10.064967
0.0,54,TCP,64.0,2072,2072,0.0,False,True,False,False,False,False,False,0.0,1.0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83361816.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.22398986,22754,CHAOS,65.69,2318,2318,0.0,False,False,False,False,False,False,False,0.0,0.04,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,528.52,50.0,53.52,50.246006,0.8911925,50.32,83495210.0,9.5,1.2627585,4.5743194,0.22,141.55,DDoS,10.024507
0.16079089,35410,UDP,64.0,8237,8237,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,525.0,50.0,50.0,50.0,0.0,50.0,83098536.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.0
0.0,54,TCP,64.0,2,2,0.0,False,False,False,True,True,False,False,0.0,0.0,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83331700.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.0071584177,623,TCP,64.0,108,108,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,7676.4,201.6,1371.2,719.01935,518.3663,748.2,83340130.0,9.5,733.2485,306914.38,0.88,141.55,DDoS,36.527893
7.3091986e-05,55,TCP,64.64,251,251,0.0,False,True,False,False,False,False,False,0.0,0.99,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,570.84,54.0,57.84,54.281563,0.9917588,54.32,83094020.0,9.5,1.4049808,8.330269,0.12,141.55,DDoS,10.419172
0.0,54,TCP,64.0,48,48,0.0,False,False,False,True,True,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83318170.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.0,54,TCP,64.0,0,0,0.0,True,False,True,False,False,False,False,1.0,0.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83344950.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.0,54,TCP,64.0,1137,1137,0.0,False,True,False,False,False,False,False,0.0,1.0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,567.0,54.0,54.0,54.0,0.0,54.0,83090136.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.392304
0.21848404,37737,UDP,64.0,4648,4648,0.0,False,False,False,False,False,False,False,0.0,0.0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,525.0,50.0,50.0,50.0,0.0,50.0,83098710.0,9.5,0.0,0.0,0.0,141.55,DDoS,10.0
